,bURL,bRating,bReview,bReviewCategory,VASentiment,PreprocessedReviews,IsEnglish
942,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,Could not put this book down! A pageturner from start to finish.,Positive,Neutral,could put book pageturner start finish,True
943,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,Another classic thriller from Dan brown drawing it's source from intriguing and sensitive historical facts. What I really appreciate here is well done research. History of course can be far from reality and to serve it's parallel reality as a thriller is intriguing. Loved it.,Positive,Positive,another classic thriller dan brown drawing source intriguing sensitive historical facts really appreciate well done research history course far reality serve parallel reality thriller intriguing loved,True
945,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,"Definitely not my reading style, however the story was pretty good! The point of view kept changing so I was really confused with what was going on. But yeah, not terrible!",Positive,Positive,definitely reading style however story pretty good point view kept changing really confused going yeah terrible,True
946,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"5/5 stars

Faith is universal. Our specific methods for understanding it are arbitrary. Some of us pray to Jesus, some of us go to Mecca, some of us study subatomic particles. In the end we are all just searching for truth, that which is greater than ourselves.

TW: Rape threats

The reason I first read Dan Brown was because I trusted some of my friends who said his books are great. The reason I kept turning the pages, biting my nails, feeling like my every move was watched, feeling like time was ticking towards distraction was the indescribable action, the constant mystery, the fights, the riddles, the worry one feels when reading these books. The reason I loved it was the research, the plot, the characters, the execution of everything in this spectacular, heart-stopping book.

This is why I present to you a few reasons to pick up a Dan Brown book:
♦ Tons of research on science, religion, art, geography, philosophy and so many other branches. The amount of information in this book is maddening, and yet it is never tiring and it never feels like it drags on. The exact opposite, each small fact or huge revalation stays with the reader throughout the story, like the riddles towards an even greater mystey.
♦ A skull-cracking mystery, serial killings, the fate of the Catholic church crumbling, the world watching in shock. This book has so much page-turning action that even thinking about it now, it still steals my breath away. I kept guessing and guessing and it got me nowhere, until when I found out the truth, everything suddenly made sense.
♦ Complex, well-thought characters, and an absolutely charming dymanic between Robert Langdon and Vittoria Vetra. Their relationship, the way they completed each other and the way their thoughts crossed and their knowledge tangled was an absolute delight to read about.
♦ A villain that had me press a hand on my mouth and widen my eyes in shock, as the motives, the feelings and the entire psychological complexity were absolutely unbelievable.
♦ A trip in Rome that made me feel like I knew the place, even if I've never been there. Everything was described and thought of in such detail that it all seemed familiar in some way, making me even more eager to follow the story.
♦ The entire atmosphere of lung squeezing stress the book gave me, that made me fly through and still think about it long after I had finished. Bonus because the multiple POVs worked in a very good way.

Overall, it was a truly enjoyable experience and I am very excited to pick up more of his books in the future. For now, keep reading and enjoying your autumn ♥ Get excited for October and Halloween ♥ And the most important, keep being your wonderful and unique selves ♥

~Mary",Positive,Positive,stars faith universal specific methods understanding arbitrary us pray jesus us go mecca us study subatomic particles end searching truth greater tw rape threats reason first read dan brown trusted friends said books great reason kept turning pages biting nails feeling like every move watched feeling like time ticking towards distraction indescribable action constant mystery fights riddles worry one feels reading books reason loved research plot characters execution everything spectacular book present reasons pick dan brown book tons research science religion art geography philosophy many branches amount information book maddening yet never tiring never feels like drags exact opposite small fact huge revalation stays reader throughout story like riddles towards even greater mystey mystery serial killings fate catholic church crumbling world watching shock book much action even thinking still steals breath away kept guessing guessing got nowhere found truth everything suddenly made sense complex characters absolutely charming dymanic robert langdon vittoria vetra relationship way completed way thoughts crossed knowledge tangled absolute delight read villain press hand mouth widen eyes shock motives feelings entire psychological complexity absolutely unbelievable trip rome made feel like knew place even never everything described thought detail seemed familiar way making even eager follow story entire atmosphere lung squeezing stress book gave made fly still think long finished bonus multiple povs worked good way overall truly enjoyable experience excited pick books future keep reading enjoying autumn get excited october halloween important keep wonderful unique selves,True
947,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,"You can tell this is a first effort. It strained credibility, and it got really cheesy toward the end.",Positive,Negative,tell first effort strained credibility got really cheesy toward end,True
948,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,1.0,"Three stars. Would give it 3.5 stars if it were possible. I enjoyed this book. I found the story very intriguing to read. I am not a religious person, but I did really like the religious aspects of this book. I liked reading about the Illuminati.
At first, I found it a bit hard to get into. I didn't really like the whole part in CERN. It was a lot of information that was being introduced, which was quite tough to get through. The story picked up once they were in Rome, however.
I also did not expect the ending. I didn't really know what I expected, actually.
The one reason why I wanted to read this book, was because I saw the movie. I watched that around two years ago, and I remember it being very different. I might be misremembering, but I thought that in the movie, they saved a few cardinals.
Also, I took exactly one month to read this book. YAY. Very slow, actually. But this is the first book I properly read after being in some kind of reading slump for at least a year, so I can't really blame myself. I also don't think reading should be some kind of contest.
I'm not very good at these reviews so I hereby end my review. :p",Negative,Positive,three stars would give stars possible enjoyed book found story intriguing read religious person really like religious aspects book liked reading illuminati first found bit hard get really like whole part cern lot information introduced quite tough get story picked rome however also expect ending really know expected actually one reason wanted read book saw movie watched around two years ago remember different might misremembering thought movie saved cardinals also took exactly one month read book yay slow actually first book properly read kind reading slump least year ca really blame also think reading kind contest good reviews hereby end review p,True
950,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.5,"This book came recommended to me by a professor I greatly respect. Because of that, I am trying my best to not
(a) throw this book across the room
(b) burn it
(c) rip out pages

Because at the moment, I feel like this:


And this:


A bit like this:


And actually, quite a lot of:


This book was lousy. While I acknowledge it had a good twist and is packed full of details, anything redeemable is quickly lost in bad writing, atrocious characters, and random plot elements. Thrillers should not try and be religious discourses. They also shouldn't give the reader WAY MORE INFORMATION than ANYONE COULD EVER WANT.



I don't really read this genre, and I remember why now. My emotions throughout the book were....varied



and mostly negative.

The main character is an American-Cambridge professor-genius who we are frequently reminded is hawt, attractive to women, and emotionally traumatized. He also has weird dreams that probably reveal a fear of growing old or something.
He meets a hawt, attractive, intelligent woman who basically runs around with little clothing on, admires his brilliance, and occasionally helps explain things for the reader. #great. So much for strong female characters.
There is an Evil Baddy Bad Guy who is sexually twisted and so entirely villainous that it is morally proper to cheer for his downfall.
And a couple other characters who POV shift randomly and who are confusing and stupid and traumatized.
In retrospect, I can't blame them. I'm traumatized reading such a lousy book. Just imagine being part of it!
The plot never ends. This book goes on and on and on. I can't believe this is a series. Also, this book is starting to get dated and that is just awkward. World Wide Web. *snort*

Anyway, I found this book an entire waste of time. I will not be pursuing more.",Neutral,Positive,book came recommended professor greatly respect trying best throw book across room b burn c rip pages moment feel like bit like actually quite lot book lousy acknowledge good twist packed full details anything redeemable quickly lost bad writing atrocious characters random plot elements thrillers try religious discourses also give reader way information anyone could ever want really read genre remember emotions throughout book varied mostly negative main character frequently reminded hawt attractive women emotionally traumatized also weird dreams probably reveal fear growing old something meets hawt attractive intelligent woman basically runs around little clothing admires brilliance occasionally helps explain things reader great much strong female characters evil baddy bad guy sexually twisted entirely villainous morally proper cheer downfall couple characters pov shift randomly confusing stupid traumatized retrospect ca blame traumatized reading lousy book imagine part plot never ends book goes ca believe series also book starting get dated awkward world wide web snort anyway found book entire waste time pursuing,True
951,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"I have to say, that I started reading this with no expectations at all. Which is good, I think. And yes, it is not perfect, totally not perfect and of course it´s crazy a lot, but still i really enjoyed this book.",Positive,Positive,say started reading expectations good think yes perfect totally perfect course crazy lot still really enjoyed book,True
952,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,2.0,"Before I start with my review, I’d like to remind anyone reading this that hasn’t read the book yet that this is the first book in the series. Plenty of people think that The Da Vinci Code is first, because the film came out before Angels and Demons. But if you want to read the books in order, start with Angels and Demons. Although I can’t think the stories tie in too much together to be honest.

I love a thriller with ties to moments in history, so of course I was going to love this book. Set mainly in Rome, Robert Langdon must help uncover mysteries about the Illuminate, a long dispersed secret brotherhood. This book gave me goosebumps every few pages whenever Langdon figured something out. I felt like I was learning a lot as I was reading it too. I now know a lot more about artists in Rome than I did before.

There is a time limit on solving the mystery in this book, by midnight Langdon must solve clues to find the Illuminate or a tank of antimatter will obliterate the Vatican. It’s dramatic, it’s intense, there are lots of twists and turns and you never know who to trust. Dan Brown must spend a heck of a lot of time writing these books, because he puts so much into them. I will be visiting Rome next month and now I’m even more excited. This story featured so many landmarks and churches that are now definitely on my list of places to travel. I also now have a few random facts about them to share whilst I’m there… I’m hoping none of them are fictional!

This is a thriller like no other, Langdon has to use his brain to solve hidden clues before he runs out of time. Every time he solved something or made a discovery I was there with my mouth hanging open and my brain eager to read more. It’s not like I ever have a chance at solving these clues, but I love watching him do it. I’ve read that this series becomes quite repetitive, so I’m glad to have enjoyed this storyline before I had experienced this first hand. For me this was original and exciting, a real page turner for sure.

Langdon is a great character to read about, he’s funny and interesting and I want to follow him about. He makes serious situations just a little bit less serious, but still remains a professional. I look forward to reading more of him, but I can’t quite see why Tom Hanks was cast as him in the films. Book Langdon is meant to be a bit younger than Hanks and a bit sexier… sorry Tom! I’m glad though that I’d forgotten most of the film when reading this book, so I could go into it with fresh eyes and now I’m excited to watch the film.",Negative,Positive,start review like remind anyone reading read book yet first book series plenty people think da vinci code first film came angels demons want read books order start angels demons although think stories tie much together honest love thriller ties moments history course going love book set mainly rome robert langdon must help uncover mysteries illuminate long dispersed secret brotherhood book gave goosebumps every pages whenever langdon figured something felt like learning lot reading know lot artists rome time limit solving mystery book midnight langdon must solve clues find illuminate tank antimatter obliterate vatican dramatic intense lots twists turns never know trust dan brown must spend heck lot time writing books puts much visiting rome next month even excited story featured many landmarks churches definitely list places travel also random facts share whilst hoping none fictional thriller like langdon use brain solve hidden clues runs time every time solved something made discovery mouth hanging open brain eager read like ever chance solving clues love watching read series becomes quite repetitive glad enjoyed storyline experienced first hand original exciting real page turner sure langdon great character read funny interesting want follow makes serious situations little bit less serious still remains professional look forward reading quite see tom hanks cast films book langdon meant bit younger hanks bit sorry tom glad though forgotten film reading book could go fresh eyes excited watch film,True
953,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.0,"I liked the whole Science vs Religion premise as it has always been a highly contentious issue that I myself am interested in. Are they truly mutually exclusive, or can they possible co-exist peacefully or maybe even reinforce one another?

Angels & Demons was a page turner. The author's use of cliffhangers at the end of nearly every chapter makes it nearly impossible to put the book down. There were also twists and turns, so the plot was not all too predictable. But after a while the constant use of cliffhangers got a little too much for me, as it felt like the book relied too much on that to keep the reader hooked.

Sadly, I'm not a really big fan of the writing. Reading this book felt like I was reading a movie? It was an entertaining read. Dan Brown was really descriptive, which helps with the painting of the scene in my head but to a point where it felt a little excessive. The entire story was about a day’s worth of happenings. As a result, I skimmed through most of the story near the last one-fifth of the book. Also here's a line from the book. ""The silence that followed might as well have been thunder."" Just ???

Also the romance between Robert and Vittoria felt a little forced? It felt like it came out of nowhere or was there just because.",Neutral,Positive,liked whole science vs religion premise always highly contentious issue interested truly mutually exclusive possible peacefully maybe even reinforce one another angels demons page turner author use cliffhangers end nearly every chapter makes nearly impossible put book also twists turns plot predictable constant use cliffhangers got little much felt like book relied much keep reader hooked sadly really big fan writing reading book felt like reading movie entertaining read dan brown really descriptive helps painting scene head point felt little excessive entire story day worth happenings result skimmed story near last book also line book silence followed might well thunder also romance robert vittoria felt little forced felt like came nowhere,True
954,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,brilliantly written! The ideas that surround the action are quite thought- provoking :),Positive,Positive,brilliantly written ideas surround action quite provoking,True
956,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.0,addicting,Neutral,Neutral,addicting,True
959,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,"Another great read from Dan Brown, for me this one was just as good as The Da Vinci Code - the plot twists were great and it had the same element that made it compulsive reading. I hope Dan Brown will be bringing more books out soon, as the other 2 books - Deception Point and Digital Fortress were simply not as good as these two.",Positive,Positive,another great read dan brown one good da vinci code plot twists great element made compulsive reading hope dan brown bringing books soon books deception point digital fortress simply good two,True
961,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"This was an interesting read for me because of two reasons.
1) I'd heard terrible things about it.
2) I struggled to get into it immediately.

Don't get me wrong, this book is trash, but great trash!
If you're really finicky about scientific, theological and in some cases geographical accuracy, then I'm afraid this book isn't for you. Angels and Demons is littered with mistakes and questionable logic. Brown paces the book to feel almost like a literary action movie with a cast of likeable characters and more twists and turns than an English B road. His treatment of female characters is a little archaic but not offensively so, more product of the early naughties. I'm usually good at guessing the twist in a novel but this one took me by surprise because it is a very twisty novel. I loved the story, loved the setting and would start Da Vinci Code immediately if I hadn't already started 2019's horror novel: ""Ring.""",Positive,Positive,interesting read two reasons heard terrible things struggled get immediately get wrong book trash great trash really finicky scientific theological cases geographical accuracy afraid book angels demons littered mistakes questionable logic brown paces book feel almost like literary action movie cast likeable characters twists turns english b road treatment female characters little archaic offensively product early naughties usually good guessing twist novel one took surprise twisty novel loved story loved setting would start da vinci code immediately already started horror novel ring,True
962,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,2.0,"This is a fantastic book! I absolutely love the whole Illuminati aspect of it; I love how Robert Langdon, a very ordinary man if you don't take his brilliant mind into account, just figure things out and fight for his own life and Vittoria's in many occasions. I also loved Vittoria! When I figured out that they would probably get something, I was like: ""oh don't let it be some cliché love story"" but it really wasn't! The most important thing was the crime and I liked Vittoria very much so when they finally got together I was like, ""That's the right way to do it"" :). The little clues and signs about Illuminati were things I took in like warm bread; I absolutely loved how it all made sense.

SPOILERS:

Now the reason for only giving it 4 stars and not 5 was because I felt like the four Prefiriti died without anyone doing them justice. The truth never really came out and Robert Langdon and Vittoria didn't do anything to do them justice when first they had both survived at gotten each other. Langdon was there himself when Baggia died, he shed tears for the man; shouldn't he want to do the man justice more than anyone? I can understand how the truth could have ruined faith for a lot of people, but it's like Ventresca got away with his awful actions - yes the man was disturbed and he'd had an awful past, surviving an attack where his own mother died but it's like Ventresca ended his days like a man to be honored and what he did was awful; He maybe got a man to do it but in theory he killed Vittoria's father, Olivetti and the four Prefiriti and not quickly.. He made them suffer and I really feel like they died for nothing. It's not okay! I can understand why the cardinals don't want to tell the truth - it would be devastating for them and especially because they are all honorable men but how Langdon and Vittoria didn't seem to do it, I don't understand.

Maybe I'm just not religious enough to understand how important religion can be to people but I have always believed in justice and I didn't think any of the Prefiriti got any justice :) but the book made me this upset so I will still say it's a BRILLIANT book :)",Negative,Positive,fantastic book absolutely love whole illuminati aspect love robert langdon ordinary man take brilliant mind account figure things fight life vittoria many occasions also loved vittoria figured would probably get something like oh let cliché love story really important thing crime liked vittoria much finally got together like right way little clues signs illuminati things took like warm bread absolutely loved made sense spoilers reason giving stars felt like four prefiriti died without anyone justice truth never really came robert langdon vittoria anything justice first survived gotten langdon baggia died shed tears man want man justice anyone understand truth could ruined faith lot people like ventresca got away awful actions yes man disturbed awful past surviving attack mother died like ventresca ended days like man honored awful maybe got man theory killed vittoria father olivetti four prefiriti quickly made suffer really feel like died nothing okay understand cardinals want tell truth would devastating especially honorable men langdon vittoria seem understand maybe religious enough understand important religion people always believed justice think prefiriti got justice book made upset still say brilliant book,True
963,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.75,"4.5 stars

This book is definitely not a 5-star book. There were a lot of plot conveniences, needless miscommunication, and flat-out laughable writing. I mean, I seriously don't think that Dan Brown can write. He has interesting ideas but I question his ability to craft a sentence. That being said, I'm rating this 5 stars because I gave The Da Vinci Code 4 stars and I definitely think this is the better book.

Even though I enjoyed The Da Vinci Code, at times it was a bit boring since there were a lot of moments where Langdon was explaining random historical knowledge the reader needed to understand the puzzles/riddles. While there was a bit of that here, there was a lot more action to make up for it. Everything about this book felt like it had higher stakes. I mean, people were being brutally murdered left and right and they were trying to stop a bomb that was more destructive than a nuke. The stakes in The Da Vinci Code was that a singular secret was (maybe) going to be revealed/forgotten by history (as it already had been). The pace of the book felt slightly faster because of the increased action and stakes and Langdon had less time to preach about symbology.

I really liked the general plot and the characters (even though they weren't the most developed characters I've ever read.) I also thought the conclusion of the book was satisfyingly and made sense.

Obviously this book is far from perfect. As I mentioned before, Dan Brown really can't write. He tried to weave some complex themes throughout the book but, in my opinion, his writing is too ham-fisted to execute it. Things were also a bit too convenient at times and the characters had a few too many skills that were just perfect to get the characters out of whatever danger they were in. Also, words cannot describe how cringe-inducing the ~romance~ between Langdon and Vittoria was. Still, despite all reason, I really, really liked this. I don't know if I'd recommend this to people I know, but if you like Dan Brown-esque writers (aka, Dad-lit) then you'd love this.",Positive,Positive,stars book definitely book lot plot conveniences needless miscommunication laughable writing mean seriously think dan brown write interesting ideas question ability craft sentence said rating stars gave da vinci code stars definitely think better book even though enjoyed da vinci code times bit boring since lot moments langdon explaining random historical knowledge reader needed understand bit lot action make everything book felt like higher stakes mean people brutally murdered left right trying stop bomb destructive nuke stakes da vinci code singular secret maybe going history already pace book felt slightly faster increased action stakes langdon less time preach symbology really liked general plot characters even though developed characters ever read also thought conclusion book satisfyingly made sense obviously book far perfect mentioned dan brown really ca write tried weave complex themes throughout book opinion writing execute things also bit convenient times characters many skills perfect get characters whatever danger also words describe langdon vittoria still despite reason really really liked know recommend people know like dan writers aka love,True
964,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.0,"This is the first Dan Brown novel I have read, and at first I wasn't a huge fan. It was good but it wasn't great. The writing was well done, and the plot made sense, and the history surrounding it was cool. I liked it fine enough, but not outstanding to me right away. The characters weren't that great in my eyes, just solid characters, nothing too wildly special. Overall I figured it was just an okay novel, until the end. The end really made this book crazy good! I didn't think I would like this novel halfway through, but the ending was so interesting and twisted that everything made sense and I ended up enjoying so, so much! I'm so glad I held out and finished it, because it was worth it. I definitely plan to read The Da Vinci Code.",Neutral,Positive,first dan brown novel read first huge fan good great writing well done plot made sense history surrounding cool liked fine enough outstanding right away characters great eyes solid characters nothing wildly special overall figured okay novel end end really made book crazy good think would like novel halfway ending interesting twisted everything made sense ended enjoying much glad held finished worth definitely plan read da vinci code,True
966,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,2.0,"Went into this book not really knowing what to expect and ended up being completely hooked. A real page turner.
The plot had twists all throughout the book, till the very end.",Negative,Neutral,went book really knowing expect ended completely hooked real page turner plot twists throughout book till end,True
967,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.0,an epic page turner.really gets you into browns books,Neutral,Neutral,epic page gets browns books,True
968,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.75,"There are lies, there are damned lies, and then there's Dan Brown - I read this somewhere, and it's true. I remember not being aware of this when I read Da Vinci Code a long time back. Anyway, this wasn't half bad. If not anything else, it was a page-turner and quite an entertaining one. Dan Brown's good for finishing off the month.",Positive,Positive,lies damned lies dan brown read somewhere true remember aware read da vinci code long time back anyway half bad anything else quite entertaining one dan brown good finishing month,True
969,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,2.0,"3.5 //

That was pretty fun. The first thing I noticed was how easy this was to get through. The chapters are very short so its easy to get sucked in the ""one more chapter before bed...becomes 10 chapters later"" momentum. Once the story was introduced it is easy to see how well this could be translated to a film.

There were a lot of moments of suspense that totally grabbed my attention. I'll be honest though, there were some moments in the midway where I didn't care what happened because it did feel like a drag. But I'm happy I did get through this because the last 150 or so pages was fun.

I could do without the scenes of male gaze but that may just be me.",Negative,Positive,pretty fun first thing noticed easy get chapters short easy get sucked one chapter bed becomes chapters later momentum story introduced easy see well could translated film lot moments suspense totally grabbed attention honest though moments midway care happened feel like drag happy get last pages fun could without scenes male gaze may,True
970,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"While the plot was a page-turner, the writing was mediocre. Although obviously better written than shameful series like Twilight and Fifty Shades of Gray, the writing in this book was lackluster. It was as if Dan Brown took one writing class, made a list of generic writing techniques, and then tried to implement them all. Okay... maybe it was better than that, but the character development was not much to rave about, and the writing was too repetitious. I felt like I was watching a reality TV show that has to do a summary after every commercial. I doubt I'll read another book by Langdon, but this book was still intriguing enough to where I felt the need to finish it. I enjoyed the history and the plot twists. They're what really kept the story going for me.",Positive,Positive,plot writing mediocre although obviously better written shameful series like twilight fifty shades gray writing book lackluster dan brown took one writing class made list generic writing techniques tried implement okay maybe better character development much rave writing repetitious felt like watching reality tv show summary every commercial doubt read another book langdon book still intriguing enough felt need finish enjoyed history plot twists really kept story going,True
971,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.75,I think it's better than the Divinci code,Positive,Positive,think better divinci code,True
972,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"This is a largely ridiculous plot with fantastical assumptions and more plot twists (all of them predictable!) in one chapter than in any other book I've read... That said, I really enjoyed it!
Once you've resigned yourself to the cheesy, 'cloak and dagger' style from of writing with it's early 2000s lingo (e.g. ""worldwide web"" and ""handheld camcorder"") then you've got a quite a thriller on your hands! The fast pace means you'll never be bored and the writing flows very well. The immortal topic of science vs god is applicable to any period. At times, in fact, it managed to move me spiritually as I considered my own beliefs about life and god.
I really didn't expect to enjoy this book as much as I did, and looking back, I'm still not sure of my motives for giving it four stars! But somehow, I just clicked with this book. Far-fetched, gruesome, ridiculous and occasionally brilliant. I loved it!",Positive,Positive,largely ridiculous plot fantastical assumptions plot twists predictable one chapter book read said really enjoyed resigned cheesy dagger style writing early lingo worldwide web handheld camcorder got quite thriller hands fast pace means never bored writing flows well immortal topic science vs god applicable period times fact managed move spiritually considered beliefs life god really expect enjoy book much looking back still sure motives giving four stars somehow clicked book gruesome ridiculous occasionally brilliant loved,True
973,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.0,"read this a while ago so my review may be different if i read it more recently, but i love the robert langdon series by dan brown tbh they're really gripping and mysterious, and put you into that environment really well. honestly they even teach you a bit about the setting and the topic you're exploring. this book was my first experience reading dan brown and i loved the uniqueness (to me) of the story and characters",Neutral,Positive,read ago review may different read recently love robert langdon series dan brown tbh really gripping mysterious put environment really well honestly even teach bit setting topic exploring book first experience reading dan brown loved uniqueness story characters,True
974,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.0,I was hesitant to read this one. It was so long and it started out soooo slow! But I'm glad I did. It was suspenseful through 75% of the book and it was rich with history and facts! The twist was great!,Neutral,Positive,hesitant read one long started soooo slow glad suspenseful book rich history facts twist great,True
975,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,"Dan Brown is my favourite author, and as I expected, this book didn't fail to impress me. It follows the search of a new CERN discovery, the antimatter. Robert Langdon is called by Maxmilian Kohler after an unusual death which is represented by an Illuminati symbol. Robert Langdon flies to the Vatican with Vittoria Vetra, the daughter of the murder victim. Together they follow a complicated course covering the four elements: Earth, Air, Fire, Water, hoping to find the culprit. After 4 papas are killed, Robert Langdon finally locates Illuminati's location successfully, also saving Vittoria, who has been kidnapped, and killing the supposed murderer. When I had reached this point of the book, I thought the action was about to come to an end because I was starting to feel sorry for all that these 2 poor characters had to go through. But no, the action seemed like it just started. Maximilian Kohler meets up with Carlo Ventresca, the replacing pope in absence of a papa, and all the evidence after the meeting points at Maximilian being the Illuminati killer. The antimatter is still nowhere to be found, so after Ventresca has a ""revelation"" and finds it, he and Robert fly in a helicopter to get the container as far from the Vatican as possible. Ventresca abandons Robert in the helicopter after jumping out with a parachute and Robert somehow survives the fall through landing in water. Everyone treats Ventresca like a Messiah, but Robert finally realizes the murderer has been under his nose the whole time, him being Ventresca. After he is confronted, the culprit sets himself on fire and Mortati becomes the new papa.
This book is PACKED with action and plot-twists. At first, I was a bit disappointed thinking that this book would turn out to be way too predictable, but Brown knows how to use the shock element as always. In my opinion, this book is far from predictable and I can't ever get enough of Dan Brown's writing style. He puts science inside fiction, he keeps the story always on a significant tangent with reality and he transfers the reader in a deep state inside the book's action. The romance between Robert and Vittoria is nicely developed along with the other thriller events, also keeping the book far from a love story at the same time. The last chapter makes a beautiful light-hearted ending after a book filled with tension. Overall, this book was an amazing masterpiece which I would definitely re-read.",Positive,Positive,dan brown favourite author expected book fail impress follows search new cern discovery antimatter robert langdon called maxmilian kohler unusual death represented illuminati symbol robert langdon flies vatican vittoria vetra daughter murder victim together follow complicated course covering four elements earth air fire water hoping find culprit papas killed robert langdon finally locates illuminati location successfully also saving vittoria kidnapped killing supposed murderer reached point book thought action come end starting feel sorry poor characters go action seemed like started maximilian kohler meets carlo ventresca replacing pope absence papa evidence meeting points maximilian illuminati killer antimatter still nowhere found ventresca revelation finds robert fly helicopter get container far vatican possible ventresca abandons robert helicopter jumping parachute robert somehow survives fall landing water everyone treats ventresca like messiah robert finally realizes murderer nose whole time ventresca confronted culprit sets fire mortati becomes new papa book packed action first bit disappointed thinking book would turn way predictable brown knows use shock element always opinion book far predictable ca ever get enough dan brown writing style puts science inside fiction keeps story always significant tangent reality transfers reader deep state inside book action romance robert vittoria nicely developed along thriller events also keeping book far love story time last chapter makes beautiful ending book filled tension overall book amazing masterpiece would definitely,True
976,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,"3/4 of the book I was rolling my eyes at the wikipedia/google search mind of the main character and how unrealistically fast he was making all the obscure connections. But the last part of the book is AWESOME. Full of oooooh, oh wow moments. Definitely worth a read.",Positive,Positive,book rolling eyes search mind main character unrealistically fast making obscure connections last part book awesome full oooooh oh wow moments definitely worth read,True
977,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.0,"This book really had me in a chokehold in so many places and I just could not put it down. Similar though, there were some places at the end that became hard to read. Overall, a fascinating book and one I don't think I will forget for a while. ",Neutral,Positive,book really chokehold many places could put similar though places end became hard read overall fascinating book one think forget,True
978,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,I usually just scan books when the story did not catch my attention that much and its been a while since I actually finished reading a book coz it catches my attention. With this book I read it word by word and searched some things I do not know. Dan Brown has this unique way of capturing his audience attention thats why I was able to finish the book. Im actually excited to start reading the next book.,Positive,Positive,usually scan books story catch attention much since actually finished reading book coz catches attention book read word word searched things know dan brown unique way capturing audience attention thats able finish book im actually excited start reading next book,True
